VENTA;PROYECTO;MONEDA;ESTADO ACTUAL;ESTADO CALCULADO;SALDO COMERCIAL;SALDO CONTABLE;OBS. DIF. SALDOS;DIF. SALDOS
5271;CIUDAD DE DIOS NORTE;BS;Pendiente;Pendiente;72000.04;72000.04;OK;0
5272;CIUDAD DE DIOS NORTE;BS;Pagado;Pendiente;46309.04;46309.04;OK;0
5273;CIUDAD DE DIOS NORTE;BS;Retenido;Pendiente;73227.28;73227.28;OK;0
5274;CIUDAD DE DIOS NORTE;BS;Retenido;Pendiente;73227.28;73227.28;OK;0
5275;CIUDAD DE DIOS NORTE;BS;Pagado;Pendiente;46309.04;46309.04;OK;0
5292;CIUDAD DE DIOS NORTE;USD;Fusionado;Pendiente;5501.76;5501.76;OK;0
5305;CIUDAD DE DIOS NORTE;BS;Pendiente;Pendiente;46718.2;46718.2;OK;0
5306;CIUDAD DE DIOS NORTE;BS;Pendiente;Pendiente;47583.35;47583.35;OK;0
5307;CIUDAD DE DIOS NORTE;USD;Pendiente;Pendiente;5509.52;5509.52;OK;0
5308;CIUDAD DE DIOS NORTE;USD;Retenido;Pendiente;6468.45;6468.45;OK;0
5310;CIUDAD DE DIOS NORTE;BS;Retenido;Pendiente;42408.63;42408.63;OK;0
5311;CIUDAD DE DIOS NORTE;BS;Pendiente;Pendiente;46717.65;46717.65;OK;0
5312;CIUDAD DE DIOS NORTE;BS;Pendiente;Pendiente;45853.05;45853.05;OK;0
5313;CIUDAD DE DIOS NORTE;BS;Retenido;Pendiente;63077.62;63077.62;OK;0
5314;CIUDAD DE DIOS NORTE;BS;Pendiente;Pendiente;43186.48;43186.48;OK;0
5315;CIUDAD DE DIOS NORTE;BS;Pendiente;Pendiente;50215.15;50215.15;OK;0
5320;CIUDAD DE DIOS NORTE;BS;Pendiente;Pendiente;45852.95;45852.95;OK;0
5321;CIUDAD DE DIOS NORTE;BS;Pendiente;Pendiente;45852.95;45852.95;OK;0
5322;CIUDAD DE DIOS NORTE;BS;Retenido;Pendiente;44648.54;44648.54;OK;0
5323;CIUDAD DE DIOS NORTE;BS;Pendiente;Pendiente;46779.48;46779.48;OK;0
5327;CIUDAD DE DIOS NORTE;BS;Retenido;Pendiente;41469.6;41469.6;OK;0
5328;CIUDAD DE DIOS NORTE;BS;Pendiente;Pendiente;61946.88;61946.88;OK;0
5329;CIUDAD DE DIOS NORTE;BS;Retenido;Pendiente;46750;46750;OK;0
5330;CIUDAD DE DIOS NORTE;BS;Fusionado;Pendiente;46309.04;46309.04;OK;0
5331;CIUDAD DE DIOS NORTE;BS;Pendiente;Pendiente;63773.97;63773.97;OK;0
5332;CIUDAD DE DIOS NORTE;BS;Pendiente;Pendiente;44608.15;44608.15;OK;0
5333;CIUDAD DE DIOS NORTE;BS;Pendiente;Pendiente;89895.34;89895.34;OK;0
5334;CIUDAD DE DIOS NORTE;BS;Pendiente;Pendiente;60289.1;60289.1;OK;0
5336;CIUDAD DE DIOS NORTE;BS;Retenido;Pendiente;43483.8;43483.8;OK;0
5340;CIUDAD DE DIOS NORTE;USD;Pendiente;Pendiente;6965.33;6965.33;OK;0
5341;CIUDAD DE DIOS NORTE;BS;Pendiente;Pendiente;45853.05;45853.05;OK;0
5353;CIUDAD DE DIOS NORTE;USD;Pendiente;Pendiente;8219.31;8219.31;OK;0
5354;CIUDAD DE DIOS NORTE;BS;Pagado;Pendiente;0;33775.93;ERROR;-33775.93
5355;CIUDAD DE DIOS NORTE;BS;Pendiente;Pendiente;39380.47;39380.47;OK;0
5356;CIUDAD DE DIOS NORTE;BS;Pendiente;Pendiente;39380.47;39380.47;OK;0
5357;CIUDAD DE DIOS NORTE;BS;Pendiente;Pendiente;46129;46129;OK;0
5370;CIUDAD DE DIOS NORTE;BS;Pendiente;Pendiente;35919.16;35919.16;OK;0
5371;CIUDAD DE DIOS NORTE;BS;Fusionado;Pendiente;29457.99;29457.99;OK;0
5372;CIUDAD DE DIOS NORTE;BS;Pendiente;Pendiente;44754.52;44754.52;OK;0
5373;CIUDAD DE DIOS NORTE;BS;Pendiente;Pendiente;66138.04;66138.04;OK;0
5374;CIUDAD DE DIOS NORTE;BS;Pendiente;Pendiente;84716.62;84716.62;OK;0
5378;CIUDAD DE DIOS NORTE;BS;Pendiente;Pendiente;33438.86;33438.86;OK;0
5379;CIUDAD DE DIOS NORTE;BS;Pendiente;Pendiente;44593.88;44593.88;OK;0
5380;CIUDAD DE DIOS NORTE;BS;Retenido;Pendiente;46750;46750;OK;0
5382;CIUDAD DE DIOS NORTE;BS;Pendiente;Pendiente;46750;46750;OK;0
5386;CIUDAD DE DIOS NORTE;BS;Pendiente;Pendiente;50824.2;50824.2;OK;0
5399;CIUDAD DE DIOS NORTE;BS;Pendiente;Pendiente;49450.88;49450.88;OK;0
5400;CIUDAD DE DIOS NORTE;BS;Pendiente;Pendiente;49450.88;49450.88;OK;0
5401;CIUDAD DE DIOS NORTE;BS;Pendiente;Pendiente;49449.88;49449.88;OK;0
5402;CIUDAD DE DIOS NORTE;BS;Retenido;Pendiente;55895.6;55895.6;OK;0
5403;CIUDAD DE DIOS NORTE;BS;Pendiente;Pendiente;46750;46750;OK;0
5404;CIUDAD DE DIOS NORTE;BS;Pendiente;Pendiente;47450;47450;OK;0
5405;CIUDAD DE DIOS NORTE;BS;Pendiente;Pendiente;47166.62;47166.62;OK;0
