"VENTA";"PROYECTO";"MONEDA";"ESTADO ACTUAL";"ESTADO CALCULADO";"SALDO COMERCIAL";"SALDO CONTABLE";"DIF. SALDOS"
"1";"CIUDAD DE DIOS LUJAN";"USD";"Pagado";"Pagado";"0";"0";"";"OK"
"2";"CIUDAD DE DIOS LUJAN";"USD";"Pagado";"Pagado";"0";"0";"";"OK"
"3";"CIUDAD DE DIOS LUJAN";"USD";"Pagado";"Pendiente";"3627.89";"3627.89";"";"OK"
"4";"CIUDAD DE DIOS LUJAN";"USD";"Cambiado";"Pendiente";"5146.99";"5146.99";"";"OK"
"5";"CIUDAD DE DIOS LUJAN";"USD";"Pagado";"Pendiente";"0";"0";"";"OK"
"6";"CIUDAD DE DIOS LUJAN";"USD";"Pendiente";"Pendiente";"3523.86";"3523.86";"";"OK"
"7";"CIUDAD DE DIOS LUJAN";"USD";"Pagado";"Pendiente";"1862.96";"1862.96";"";"OK"
"8";"CIUDAD DE DIOS LUJAN";"USD";"Pagado";"Pendiente";"2228.25";"2228.25";"";"OK"
"9";"CIUDAD DE DIOS LUJAN";"USD";"Pagado";"Pendiente";"1862.96";"1862.96";"";"OK"
"10";"CIUDAD DE DIOS LUJAN";"USD";"Pagado";"Pendiente";"0";"0";"";"OK"
"11";"CIUDAD DE DIOS LUJAN";"USD";"Pagado";"Pagado";"0";"0";"";"OK"
"12";"CIUDAD DE DIOS LUJAN";"USD";"Pagado";"Pendiente";"702.32";"702.32";"";"OK"
"13";"CIUDAD DE DIOS LUJAN";"USD";"Pagado";"Pendiente";"1704.4";"1704.4";"";"OK"
"14";"CIUDAD DE DIOS LUJAN";"USD";"Pendiente";"Pendiente";"4109.81";"4109.81";"";"OK"
"15";"CIUDAD DE DIOS LUJAN";"USD";"Pagado";"Pendiente";"0";"0";"";"OK"
"16";"CIUDAD DE DIOS LUJAN";"USD";"Pagado";"Pendiente";"0";"0";"";"OK"
"17";"CIUDAD DE DIOS LUJAN";"USD";"Pagado";"Pendiente";"3279.16";"3279.16";"";"OK"
"18";"CIUDAD DE DIOS LUJAN";"USD";"Pagado";"Pendiente";"0";"0";"";"OK"
"19";"CIUDAD DE DIOS LUJAN";"USD";"Pagado";"Pagado";"0";"0";"";"OK"
"20";"CIUDAD DE DIOS LUJAN";"USD";"Pagado";"Pagado";"0";"0";"";"OK"
"21";"CIUDAD DE DIOS LUJAN";"USD";"Pagado";"Pendiente";"0";"0";"";"OK"
"22";"CIUDAD DE DIOS LUJAN";"USD";"Pagado";"Pendiente";"0";"0";"";"OK"
"23";"CIUDAD DE DIOS LUJAN";"USD";"Pagado";"Pendiente";"0";"0";"";"OK"
"24";"CIUDAD DE DIOS LUJAN";"USD";"Pagado";"Pendiente";"0";"0";"";"OK"
"25";"CIUDAD DE DIOS LUJAN";"USD";"Pagado";"Pendiente";"3409.37";"3409.37";"";"OK"
"26";"CIUDAD DE DIOS LUJAN";"USD";"Pagado";"Pagado";"0";"0";"";"OK"
"27";"CIUDAD DE DIOS LUJAN";"USD";"Pagado";"Pendiente";"0";"0";"";"OK"
"28";"CIUDAD DE DIOS LUJAN";"USD";"Pagado";"Pendiente";"0";"0";"";"OK"
"29";"CIUDAD DE DIOS LUJAN";"USD";"Pagado";"Pendiente";"0";"0";"";"OK"
"30";"CIUDAD DE DIOS LUJAN";"USD";"Pagado";"Pendiente";"0";"0";"";"OK"
"31";"CIUDAD DE DIOS LUJAN";"USD";"Pagado";"Pendiente";"0";"0";"";"OK"
"32";"CIUDAD DE DIOS LUJAN";"USD";"Pagado";"Pendiente";"0";"0";"";"OK"
"33";"CIUDAD DE DIOS LUJAN";"USD";"Pagado";"Pendiente";"0";"0";"";"OK"
"34";"CIUDAD DE DIOS LUJAN";"USD";"Pagado";"Pagado";"0";"0";"";"OK"
"35";"CIUDAD DE DIOS LUJAN";"USD";"Pagado";"Pendiente";"0";"0";"";"OK"
"36";"CIUDAD DE DIOS LUJAN";"USD";"Pagado";"Pendiente";"0";"0";"";"OK"
"37";"CIUDAD DE DIOS LUJAN";"USD";"Pagado";"Pendiente";"0";"0";"";"OK"
"38";"CIUDAD DE DIOS LUJAN";"USD";"Pagado";"Pendiente";"3201.31";"3201.31";"";"OK"
"39";"CIUDAD DE DIOS LUJAN";"USD";"Pagado";"Pendiente";"2041.73";"2041.73";"";"OK"
"40";"CIUDAD DE DIOS LUJAN";"USD";"Pagado";"Pendiente";"5125.06";"5125.06";"";"OK"
"41";"CIUDAD DE DIOS LUJAN";"USD";"Pagado";"Pendiente";"3150.62";"3150.62";"";"OK"
"42";"CIUDAD DE DIOS LUJAN";"USD";"Pagado";"Pendiente";"0";"0";"";"OK"
"43";"CIUDAD DE DIOS LUJAN";"USD";"Pagado";"Pendiente";"0";"0";"";"OK"
"44";"CIUDAD DE DIOS LUJAN";"USD";"Pagado";"Pendiente";"0";"0";"";"OK"
"45";"CIUDAD DE DIOS LUJAN";"USD";"Pagado";"Pendiente";"0";"0";"";"OK"
"46";"CIUDAD DE DIOS LUJAN";"USD";"Pagado";"Pendiente";"0";"0";"";"OK"
"47";"CIUDAD DE DIOS LUJAN";"USD";"Pagado";"Pendiente";"0";"0";"";"OK"
"48";"CIUDAD DE DIOS LUJAN";"USD";"Pagado";"Pendiente";"0";"0";"";"OK"
"49";"CIUDAD DE DIOS LUJAN";"USD";"Pagado";"Pendiente";"1984.57";"1984.57";"";"OK"
"50";"CIUDAD DE DIOS LUJAN";"USD";"Pagado";"Pendiente";"1780.53";"1780.53";"";"OK"
"51";"CIUDAD DE DIOS LUJAN";"USD";"Pagado";"Pendiente";"0";"0";"";"OK"
"52";"CIUDAD DE DIOS LUJAN";"USD";"Pagado";"Pendiente";"0";"0";"";"OK"
"53";"CIUDAD DE DIOS LUJAN";"USD";"Pagado";"Pendiente";"0";"0";"";"OK"
"54";"CIUDAD DE DIOS LUJAN";"USD";"Pagado";"Pendiente";"0";"0";"";"OK"
"55";"CIUDAD DE DIOS LUJAN";"USD";"Pagado";"Pendiente";"0";"0";"";"OK"
"56";"CIUDAD DE DIOS LUJAN";"USD";"Pagado";"Pendiente";"0";"0";"";"OK"
"57";"CIUDAD DE DIOS LUJAN";"USD";"Pagado";"Pendiente";"0";"0";"";"OK"
"58";"CIUDAD DE DIOS LUJAN";"USD";"Pagado";"Pendiente";"3352.12";"3352.12";"";"OK"
"59";"CIUDAD DE DIOS LUJAN";"USD";"Pagado";"Pendiente";"2319.32";"2319.32";"";"OK"
"60";"CIUDAD DE DIOS LUJAN";"USD";"Retenido";"Pendiente";"2264.55";"2264.55";"";"OK"
"61";"CIUDAD DE DIOS LUJAN";"USD";"Pagado";"Pendiente";"4846.52";"4846.52";"";"OK"
"62";"CIUDAD DE DIOS LUJAN";"USD";"Pagado";"Pendiente";"0";"0";"";"OK"
"63";"CIUDAD DE DIOS LUJAN";"USD";"Pagado";"Pendiente";"0";"0";"";"OK"
"64";"CIUDAD DE DIOS LUJAN";"USD";"Pagado";"Pendiente";"0";"0";"";"OK"
"65";"CIUDAD DE DIOS LUJAN";"USD";"Pagado";"Pendiente";"0";"0";"";"OK"
"66";"CIUDAD DE DIOS LUJAN";"USD";"Pagado";"Pendiente";"0";"0";"";"OK"
"67";"CIUDAD DE DIOS LUJAN";"USD";"Pagado";"Pendiente";"0";"0";"";"OK"
"68";"CIUDAD DE DIOS LUJAN";"USD";"Pagado";"Pendiente";"0";"0";"";"OK"
"69";"CIUDAD DE DIOS LUJAN";"USD";"Pagado";"Pendiente";"0";"0";"";"OK"
"70";"CIUDAD DE DIOS LUJAN";"USD";"Pagado";"Pendiente";"0";"0";"";"OK"
"71";"CIUDAD DE DIOS LUJAN";"USD";"Pagado";"Pendiente";"0";"0";"";"OK"
"72";"CIUDAD DE DIOS LUJAN";"USD";"Pagado";"Pendiente";"3667.7";"3667.7";"";"OK"
"73";"CIUDAD DE DIOS LUJAN";"USD";"Pagado";"Pendiente";"2412.92";"2412.92";"";"OK"
"74";"CIUDAD DE DIOS LUJAN";"USD";"Pagado";"Pendiente";"2160.38";"2160.38";"";"OK"
"75";"CIUDAD DE DIOS LUJAN";"USD";"Pagado";"Pagado";"0";"0";"";"OK"
"76";"CIUDAD DE DIOS LUJAN";"USD";"Pagado";"Pagado";"0";"0";"";"OK"
"77";"CIUDAD DE DIOS LUJAN";"USD";"Pendiente";"Pendiente";"2189.58";"2189.58";"";"OK"
"78";"CIUDAD DE DIOS LUJAN";"USD";"Pagado";"Pendiente";"0";"0";"";"OK"
"79";"CIUDAD DE DIOS LUJAN";"USD";"Pagado";"Pendiente";"0";"0";"";"OK"
"80";"CIUDAD DE DIOS LUJAN";"USD";"Pagado";"Pendiente";"5086.6";"5086.6";"";"OK"
"81";"CIUDAD DE DIOS LUJAN";"USD";"Pagado";"Pendiente";"0";"0";"";"OK"
"82";"CIUDAD DE DIOS LUJAN";"USD";"Pagado";"Pendiente";"0";"0";"";"OK"
"83";"CIUDAD DE DIOS LUJAN";"USD";"Pagado";"Pendiente";"0";"0";"";"OK"
"84";"CIUDAD DE DIOS LUJAN";"USD";"Pagado";"Pendiente";"0";"0";"";"OK"
"85";"CIUDAD DE DIOS LUJAN";"USD";"Pagado";"Pendiente";"0";"0";"";"OK"
"86";"CIUDAD DE DIOS LUJAN";"USD";"Pagado";"Pendiente";"0";"0";"";"OK"
"87";"CIUDAD DE DIOS LUJAN";"USD";"Pagado";"Pendiente";"2644.03";"2644.03";"";"OK"
"88";"CIUDAD DE DIOS LUJAN";"USD";"Pagado";"Pendiente";"1097.16";"1097.16";"";"OK"
"89";"CIUDAD DE DIOS LUJAN";"USD";"Pagado";"Pendiente";"0";"0";"";"OK"
"90";"CIUDAD DE DIOS LUJAN";"USD";"Pagado";"Pendiente";"0";"0";"";"OK"
"91";"CIUDAD DE DIOS LUJAN";"USD";"Pagado";"Pendiente";"3143.75";"3143.75";"";"OK"
"92";"CIUDAD DE DIOS LUJAN";"USD";"Pagado";"Pendiente";"2586.54";"2586.54";"";"OK"
"93";"CIUDAD DE DIOS LUJAN";"USD";"Pagado";"Pendiente";"0";"0";"";"OK"
"94";"CIUDAD DE DIOS LUJAN";"USD";"Pagado";"Pendiente";"0";"0";"";"OK"
"95";"CIUDAD DE DIOS LUJAN";"USD";"Pagado";"Pendiente";"0";"0";"";"OK"
"96";"CIUDAD DE DIOS LUJAN";"USD";"Pagado";"Pendiente";"0";"0";"";"OK"
"97";"CIUDAD DE DIOS LUJAN";"USD";"Pagado";"Pendiente";"0";"0";"";"OK"
"98";"CIUDAD DE DIOS LUJAN";"USD";"Pagado";"Pendiente";"0";"0";"";"OK"
"99";"CIUDAD DE DIOS LUJAN";"USD";"Pagado";"Pendiente";"0";"0";"";"OK"
"100";"CIUDAD DE DIOS LUJAN";"USD";"Pagado";"Pendiente";"0";"0";"";"OK"
"101";"CIUDAD DE DIOS LUJAN";"USD";"Pagado";"Pendiente";"2037.13";"2037.13";"";"OK"
"102";"CIUDAD DE DIOS LUJAN";"USD";"Pagado";"Pendiente";"0";"0";"";"OK"
"103";"CIUDAD DE DIOS LUJAN";"USD";"Pagado";"Pendiente";"0";"0";"";"OK"
"104";"CIUDAD DE DIOS LUJAN";"USD";"Pagado";"Pendiente";"0";"0";"";"OK"
"105";"CIUDAD DE DIOS LUJAN";"USD";"Pagado";"Pendiente";"0";"0";"";"OK"
"106";"CIUDAD DE DIOS LUJAN";"USD";"Pagado";"Pendiente";"0";"0";"";"OK"
"107";"CIUDAD DE DIOS LUJAN";"USD";"Pagado";"Pendiente";"0";"0";"";"OK"
"108";"CIUDAD DE DIOS LUJAN";"USD";"Pagado";"Pendiente";"0";"0";"";"OK"
"109";"CIUDAD DE DIOS LUJAN";"USD";"Pagado";"Pendiente";"0";"0";"";"OK"
"110";"CIUDAD DE DIOS LUJAN";"USD";"Pagado";"Pendiente";"0";"0";"";"OK"
"111";"CIUDAD DE DIOS LUJAN";"USD";"Pagado";"Pendiente";"0";"0";"";"OK"
"112";"CIUDAD DE DIOS LUJAN";"USD";"Pagado";"Pendiente";"0";"0";"";"OK"
"113";"CIUDAD DE DIOS LUJAN";"USD";"Pagado";"Pendiente";"0";"0";"";"OK"
"114";"CIUDAD DE DIOS LUJAN";"USD";"Pagado";"Pendiente";"0";"0";"";"OK"
"115";"CIUDAD DE DIOS LUJAN";"USD";"Pagado";"Pendiente";"0";"0";"";"OK"
"116";"CIUDAD DE DIOS LUJAN";"USD";"Pagado";"Pendiente";"0";"0";"";"OK"
"117";"CIUDAD DE DIOS LUJAN";"USD";"Pagado";"Pendiente";"0";"0";"";"OK"
"118";"CIUDAD DE DIOS LUJAN";"USD";"Pagado";"Pendiente";"0";"0";"";"OK"
"119";"CIUDAD DE DIOS LUJAN";"USD";"Pagado";"Pendiente";"0";"0";"";"OK"
"120";"CIUDAD DE DIOS LUJAN";"USD";"Pagado";"Pendiente";"0";"0";"";"OK"
"121";"CIUDAD DE DIOS LUJAN";"USD";"Pagado";"Pendiente";"0";"0";"";"OK"
"122";"CIUDAD DE DIOS LUJAN";"USD";"Pagado";"Pendiente";"4530.6";"4530.6";"";"OK"
"123";"CIUDAD DE DIOS LUJAN";"USD";"Pagado";"Pendiente";"2627.43";"2627.43";"";"OK"
"124";"CIUDAD DE DIOS LUJAN";"USD";"Pagado";"Pendiente";"2476.98";"2476.98";"";"OK"
