"VENTA";"PROYECTO";"MONEDA";"ESTADO ACTUAL";"ESTADO CALCULADO";"SALDO COMERCIAL";"SALDO CONTABLE";"DIF. SALDOS"
"7790";"DUNAS DEL URUBO";"USD";"Retenido";"Pendiente";"18242.31";"18242.31";"OK";""
"7791";"DUNAS DEL URUBO";"USD";"Retenido";"Pendiente";"0";"0";"OK";""
"7792";"DUNAS DEL URUBO";"USD";"Pendiente";"Pendiente";"19950";"19950";"OK";""
"7793";"DUNAS DEL URUBO";"USD";"Retenido";"Pendiente";"17490.73";"17490.73";"OK";""
"7794";"DUNAS DEL URUBO";"USD";"Pendiente";"Pendiente";"23126.26";"23126.26";"OK";""
"7795";"DUNAS DEL URUBO";"USD";"Pendiente";"Pendiente";"21911.88";"21911.88";"OK";""
"7796";"DUNAS DEL URUBO";"USD";"Retenido";"Pendiente";"24619.8";"24619.8";"OK";""
"7797";"DUNAS DEL URUBO";"USD";"Retenido";"Pendiente";"21340.83";"21340.83";"OK";""
"7798";"DUNAS DEL URUBO";"USD";"Retenido";"Pendiente";"19937.49";"19937.49";"OK";""
"7799";"DUNAS DEL URUBO";"USD";"Retenido";"Pendiente";"22015";"22015";"OK";""
"7800";"DUNAS DEL URUBO";"USD";"Retenido";"Pendiente";"22469.54";"22469.54";"OK";""
"7801";"DUNAS DEL URUBO";"USD";"Retenido";"Pendiente";"17541.67";"17541.67";"OK";""
"7802";"DUNAS DEL URUBO";"USD";"Retenido";"Pendiente";"18669.49";"18669.49";"OK";""
"7803";"DUNAS DEL URUBO";"USD";"Cambiado";"Pendiente";"18528.04";"18528.04";"OK";""
"7804";"DUNAS DEL URUBO";"USD";"Retenido";"Pendiente";"18085.61";"18085.61";"OK";""
"7805";"DUNAS DEL URUBO";"USD";"Retenido";"Pendiente";"17550.02";"17550.02";"OK";""
"7806";"DUNAS DEL URUBO";"USD";"Retenido";"Pendiente";"0";"0";"OK";""
"7807";"DUNAS DEL URUBO";"USD";"Pendiente";"Pendiente";"19695.12";"19695.12";"OK";""
"7808";"DUNAS DEL URUBO";"USD";"Pendiente";"Pendiente";"23111.07";"23111.07";"OK";""
"7809";"DUNAS DEL URUBO";"USD";"Retenido";"Pendiente";"35110.76";"35110.76";"OK";""
"7810";"DUNAS DEL URUBO";"USD";"Retenido";"Pendiente";"24717.06";"24717.06";"OK";""
"7811";"DUNAS DEL URUBO";"USD";"Retenido";"Pendiente";"6436.63";"6436.63";"OK";""
"7812";"RENACER";"USD";"Pagado";"Pagado";"0";"0";"OK";""
"7813";"RENACER";"USD";"Pagado";"Pendiente";"0";"0";"OK";""
"7814";"RENACER";"USD";"Pagado";"Pendiente";"7527.79";"7527.79";"OK";""
"7815";"DUNAS DEL URUBO";"USD";"Retenido";"Pendiente";"18810";"18810";"OK";""
"7816";"DUNAS DEL URUBO";"USD";"Retenido";"Pendiente";"18075";"18075";"OK";""
"7817";"RENACER";"USD";"Pendiente";"Pendiente";"5573";"5573";"OK";""
"7818";"RENACER";"USD";"Pendiente";"Pendiente";"5755.98";"5755.98";"OK";""
"7819";"RENACER";"USD";"Pendiente";"Pendiente";"5755.98";"5755.98";"OK";""
"7820";"RENACER";"USD";"Pendiente";"Pendiente";"5573";"5573";"OK";""
"7821";"RENACER";"USD";"Retenido";"Pendiente";"8004.1";"8004.1";"OK";""
"7822";"RENACER";"USD";"Retenido";"Pendiente";"5969.8";"5969.8";"OK";""
"7823";"RENACER";"USD";"Retenido";"Pendiente";"10547.94";"10547.94";"OK";""
"7824";"RENACER";"USD";"Pagado";"Pendiente";"5845.68";"5845.68";"OK";""
"7825";"DUNAS DEL URUBO";"USD";"Retenido";"Pendiente";"29423.07";"29423.07";"OK";""
"7826";"DUNAS DEL URUBO";"USD";"Retenido";"Pendiente";"18907.91";"18907.91";"OK";""
"7827";"DUNAS DEL URUBO";"USD";"Retenido";"Pendiente";"20469.54";"20469.54";"OK";""
"7828";"RENACER";"USD";"Retenido";"Pendiente";"6950.1";"6950.1";"OK";""
"7829";"RENACER";"USD";"Retenido";"Pendiente";"7353.31";"7353.31";"OK";""
"7830";"RENACER";"USD";"Pendiente";"Pendiente";"7661.88";"7661.88";"OK";""
"7831";"RENACER";"USD";"Pendiente";"Pendiente";"14437.15";"14437.15";"OK";""
"7832";"RENACER";"USD";"Pendiente";"Pendiente";"7722.49";"7722.49";"OK";""
"7833";"RENACER";"USD";"Retenido";"Pendiente";"6375";"6375";"OK";""
"7834";"RENACER";"USD";"Retenido";"Pendiente";"9188.47";"9188.47";"OK";""
"7835";"RENACER";"USD";"Pagado";"Pendiente";"5935.37";"5935.37";"OK";""
"7836";"RENACER";"USD";"Pendiente";"Pendiente";"5935.37";"5935.37";"OK";""
"7837";"DUNAS DEL URUBO";"USD";"Pagado";"Pagado";"0";"0";"OK";""
"7838";"DUNAS DEL URUBO";"USD";"Pagado";"Pagado";"0";"0";"OK";""
"7839";"RENACER";"USD";"Retenido";"Pendiente";"7641.48";"7641.48";"OK";""
"7840";"RENACER";"USD";"Pagado";"Pendiente";"0";"0";"OK";""
"7841";"DUNAS DEL URUBO";"USD";"Retenido";"Pendiente";"21440";"21440";"OK";""
"7842";"DUNAS DEL URUBO";"USD";"Retenido";"Pendiente";"24052.77";"24052.77";"OK";""
"7843";"RENACER";"USD";"Pendiente";"Pendiente";"9533.65";"9533.65";"OK";""
"7844";"RENACER";"USD";"Pendiente";"Pendiente";"6876.7";"6876.7";"OK";""
"7845";"RENACER";"USD";"Retenido";"Pendiente";"8576.61";"8576.61";"OK";""
"7846";"RENACER";"USD";"Retenido";"Pendiente";"8576.61";"8576.61";"OK";""
"7847";"DUNAS DEL URUBO";"USD";"Pagado";"Pendiente";"0";"0";"OK";""
"7848";"DUNAS DEL URUBO";"USD";"Pagado";"Pendiente";"0";"0";"OK";""
"7849";"RENACER";"USD";"Pendiente";"Pendiente";"5663.57";"5663.57";"OK";""
"7850";"RENACER";"USD";"Pagado";"Pendiente";"6200.81";"6200.81";"OK";""
"7851";"RENACER";"USD";"Retenido";"Pendiente";"8122.61";"8122.61";"OK";""
"7852";"RENACER";"USD";"Retenido";"Pendiente";"9020.4";"9020.4";"OK";""
"7853";"DUNAS DEL URUBO";"USD";"Retenido";"Pendiente";"22939.25";"22939.25";"OK";""
"7854";"RENACER";"USD";"Pendiente";"Pendiente";"5576.29";"5576.29";"OK";""
"7855";"RENACER";"USD";"Pagado";"Pendiente";"5389.1";"5389.1";"OK";""
"7856";"DUNAS DEL URUBO";"USD";"Retenido";"Pendiente";"20892.79";"20892.79";"OK";""
"7857";"RENACER";"USD";"Pendiente";"Pendiente";"6906.17";"6906.17";"OK";""
"7858";"RENACER";"USD";"Pagado";"Pendiente";"6906.17";"6906.17";"OK";""
"7859";"RENACER";"USD";"Pendiente";"Pendiente";"10820.24";"10820.24";"OK";""
"7860";"RENACER";"USD";"Retenido";"Pendiente";"10986.26";"10986.26";"OK";""
"7861";"DUNAS DEL URUBO";"USD";"Retenido";"Pendiente";"23938.61";"23938.61";"OK";""
"7862";"RENACER";"USD";"Pagado";"Pendiente";"0";"0";"OK";""
"7863";"DUNAS DEL URUBO";"USD";"Pendiente";"Pendiente";"19254.4";"19254.4";"OK";""
"7864";"DUNAS DEL URUBO";"USD";"Pendiente";"Pendiente";"20319.4";"20319.4";"OK";""
"7865";"DUNAS DEL URUBO";"USD";"Pendiente";"Pendiente";"19725.92";"19725.92";"OK";""
"7866";"RENACER";"USD";"Pendiente";"Pendiente";"10315.51";"10315.51";"OK";""
"7867";"DUNAS DEL URUBO";"USD";"Retenido";"Pendiente";"22909.71";"22909.71";"OK";""
"7868";"DUNAS DEL URUBO";"USD";"Pendiente";"Pendiente";"23000.17";"23000.17";"OK";""
"7869";"DUNAS DEL URUBO";"USD";"Retenido";"Pendiente";"21862.88";"21862.88";"OK";""
"7870";"RENACER";"USD";"Pendiente";"Pendiente";"5759.91";"5759.91";"OK";""
"7871";"DUNAS DEL URUBO";"USD";"Retenido";"Pendiente";"8189.57";"8189.57";"OK";""
"7872";"DUNAS DEL URUBO";"USD";"Pagado";"Pagado";"0";"0";"OK";""
"7873";"DUNAS DEL URUBO";"USD";"Retenido";"Pendiente";"19328.47";"19328.47";"OK";""
"7874";"DUNAS DEL URUBO";"USD";"Pagado";"Pendiente";"0";"0";"OK";""
"7875";"DUNAS DEL URUBO";"USD";"Pagado";"Pagado";"0";"0";"OK";""
"7876";"RENACER";"USD";"Pendiente";"Pendiente";"7016.43";"7016.43";"OK";""
"7877";"RENACER";"USD";"Retenido";"Pendiente";"7016.05";"7016.05";"OK";""
"7878";"RENACER";"USD";"Pendiente";"Pendiente";"6109.73";"6109.73";"OK";""
"7879";"RENACER";"USD";"Retenido";"Pendiente";"9956.05";"9956.05";"OK";""
"7880";"DUNAS DEL URUBO";"USD";"Retenido";"Pendiente";"20067.45";"20067.45";"OK";""
"7881";"DUNAS DEL URUBO";"USD";"Retenido";"Pendiente";"18776.56";"18776.56";"OK";""
"7882";"RENACER";"USD";"Retenido";"Pendiente";"8300";"8300";"OK";""
"7883";"RENACER";"USD";"Retenido";"Pendiente";"8300";"8300";"OK";""
"7884";"RENACER";"USD";"Pagado";"Pendiente";"7760.12";"7760.12";"OK";""
"7885";"RENACER";"USD";"Pendiente";"Pendiente";"5684.81";"5684.81";"OK";""
"7886";"DUNAS DEL URUBO";"USD";"Retenido";"Pendiente";"18365.07";"18365.07";"OK";""
"7887";"DUNAS DEL URUBO";"USD";"Pendiente";"Pendiente";"20826.02";"20826.02";"OK";""
"7888";"DUNAS DEL URUBO";"USD";"Retenido";"Pendiente";"19501.08";"19501.08";"OK";""
"7889";"DUNAS DEL URUBO";"USD";"Retenido";"Pendiente";"25223.11";"25223.11";"OK";""
"7890";"DUNAS DEL URUBO";"USD";"Retenido";"Pendiente";"18515.88";"18515.88";"OK";""
"7891";"DUNAS DEL URUBO";"USD";"Retenido";"Pendiente";"18365.07";"18365.07";"OK";""
"7892";"DUNAS DEL URUBO";"USD";"Retenido";"Pendiente";"18885.09";"18885.09";"OK";""
"7893";"RENACER";"USD";"Pendiente";"Pendiente";"8160.9";"8160.9";"OK";""
"7894";"RENACER";"USD";"Pendiente";"Pendiente";"7944.71";"7944.71";"OK";""
"7895";"RENACER";"USD";"Retenido";"Pendiente";"8438.31";"8438.31";"OK";""
