VENTA;PROYECTO;MONEDA;ESTADO ACTUAL;ESTADO CALCULADO;SALDO COMERCIAL;SALDO CONTABLE;OBS. DIF. SALDOS;DIF. SALDOS
6627;CIUDAD DE DIOS BISITO;USD;Pagado;Pendiente;5758.83;5758.83;OK;
6628;CIUDAD DE DIOS BISITO;USD;Pagado;Pendiente;5758.93;5758.92;OK;
6648;CIUDAD DE DIOS BISITO;USD;Retenido;Pendiente;7019.82;7019.82;OK;
6650;CIUDAD DE DIOS BISITO;USD;Retenido;Pendiente;6006.72;6040.96;ERROR;1
6651;CIUDAD DE DIOS BISITO;USD;Pendiente;Pendiente;5897.49;5939.95;ERROR;1
6672;CIUDAD DE DIOS BISITO;USD;Pendiente;Pendiente;8741.25;8796.85;ERROR;1
6673;CIUDAD DE DIOS BISITO;USD;Pendiente;Pendiente;8741.25;8768.58;ERROR;1
6674;CIUDAD DE DIOS BISITO;USD;Pendiente;Pendiente;7483.6;7471.21;ERROR;1
6680;CIUDAD DE DIOS BISITO;USD;Pendiente;Pendiente;6014.23;6014.22;OK;
6692;CIUDAD DE DIOS BISITO;USD;Retenido;Pendiente;8467.86;8467.86;OK;
6693;CIUDAD DE DIOS BISITO;USD;Retenido;Pendiente;8114.97;8114.97;OK;
6703;CIUDAD DE DIOS BISITO;USD;Pendiente;Pendiente;5831.07;5830.81;OK;
6706;CIUDAD DE DIOS BISITO;USD;Pagado;Pendiente;5193.38;5230.81;ERROR;1
6739;CIUDAD DE DIOS BISITO;USD;Pagado;Pendiente;3036.06;3077.89;ERROR;1
6740;CIUDAD DE DIOS BISITO;USD;Retenido;Pendiente;6307.1;6307.1;OK;
6749;CIUDAD DE DIOS BISITO;USD;Pendiente;Pendiente;7413.79;7467.18;ERROR;1
6755;CIUDAD DE DIOS BISITO;USD;Retenido;Pendiente;5660;5660;OK;
6756;CIUDAD DE DIOS BISITO;USD;Pendiente;Pendiente;5290.67;5290.43;OK;
6778;CIUDAD DE DIOS BISITO;USD;Pendiente;Pendiente;6915.14;6964.88;ERROR;1
6785;CIUDAD DE DIOS BISITO;USD;Pendiente;Pendiente;9929.7;9996.4;ERROR;1
6786;CIUDAD DE DIOS BISITO;USD;Pendiente;Pendiente;5840.92;5874.26;ERROR;1
6789;CIUDAD DE DIOS BISITO;USD;Retenido;Pendiente;11781.6;11781.6;OK;
6804;CIUDAD DE DIOS BISITO;USD;Pendiente;Pendiente;9711.91;9760.62;ERROR;1
6805;CIUDAD DE DIOS BISITO;USD;Pendiente;Pendiente;9286.04;9352.22;ERROR;1
6898;CIUDAD DE DIOS BISITO;USD;Retenido;Pendiente;9736;9736;OK;
6902;CIUDAD DE DIOS BISITO;USD;Pagado;Pendiente;10660.64;10715.37;ERROR;1
6906;CIUDAD DE DIOS BISITO;USD;Pendiente;Pendiente;17239.77;17362.68;ERROR;1
6907;CIUDAD DE DIOS BISITO;USD;Pendiente;Pendiente;9257.86;9323.85;ERROR;1
6908;CIUDAD DE DIOS BISITO;USD;Pendiente;Pendiente;9902.83;9973.48;ERROR;1
6918;CIUDAD DE DIOS BISITO;USD;Pendiente;Pendiente;8380.77;8380.21;OK;
6928;CIUDAD DE DIOS BISITO;USD;Pendiente;Pendiente;5792.33;5835.52;ERROR;1
6938;CIUDAD DE DIOS BISITO;USD;Pendiente;Pendiente;7847.83;7847.05;OK;
6941;CIUDAD DE DIOS BISITO;USD;Retenido;Pendiente;7859.35;7912.49;ERROR;1
6942;CIUDAD DE DIOS BISITO;USD;Retenido;Pendiente;10252.3;10252.3;OK;
6946;CIUDAD DE DIOS BISITO;USD;Retenido;Pendiente;7766.14;7820.18;ERROR;1
6954;CIUDAD DE DIOS BISITO;USD;Pendiente;Pendiente;7435.99;7487.99;ERROR;1
6967;CIUDAD DE DIOS BISITO;USD;Pendiente;Pendiente;5098.98;5134.64;ERROR;1
6979;CIUDAD DE DIOS BISITO;USD;Fusionado;Pendiente;5566.5;6710.89;ERROR;1
6989;CIUDAD DE DIOS BISITO;USD;Retenido;Pendiente;9735.15;9735.15;OK;
6997;CIUDAD DE DIOS BISITO;USD;Pendiente;Pendiente;0;0;OK;
7135;CIUDAD DE DIOS BISITO;USD;Pendiente;Pendiente;6748.87;6748.2;OK;
7214;CIUDAD DE DIOS BISITO;USD;Retenido;Pendiente;5164.31;5163.68;OK;
7259;CIUDAD DE DIOS BISITO;USD;Pendiente;Pendiente;7168.49;7167.79;OK;
7260;CIUDAD DE DIOS BISITO;USD;Fusionado;Pendiente;7035.9;7035.21;OK;
7268;CIUDAD DE DIOS BISITO;USD;Pendiente;Pendiente;7482.63;7481.91;OK;
7269;CIUDAD DE DIOS BISITO;USD;Pendiente;Pendiente;7482.63;7481.91;OK;
7276;CIUDAD DE DIOS BISITO;USD;Pendiente;Pendiente;1630.09;1629.6;OK;
7282;CIUDAD DE DIOS BISITO;USD;Retenido;Pendiente;9171.04;9171.04;OK;
7292;CIUDAD DE DIOS BISITO;USD;Retenido;Pendiente;7872.21;7872.21;OK;
7301;CIUDAD DE DIOS BISITO;USD;Retenido;Pendiente;8080;8080;OK;
7310;CIUDAD DE DIOS BISITO;USD;Pendiente;Pendiente;5933.41;5933.41;OK;
