VENTA;PROYECTO;MONEDA;ESTADO ACTUAL;ESTADO CALCULADO;SALDO COMERCIAL;SALDO CONTABLE;RESULTADO;DIF. SALDOS
823;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;0;0;OK;0
824;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;0;0;OK;0
825;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;0;0;OK;0
826;CIUDAD DE DIOS LUJAN;USD;Pendiente;Pendiente;1490.88;1490.88;OK;0
827;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;0;0;OK;0
828;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;0;0;OK;0
829;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;0;0;OK;0
830;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;0;0;OK;0
831;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;0;0;OK;0
832;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;0;0;OK;0
833;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;0;0;OK;0
