VENTA;PROYECTO;MONEDA;ESTADO ACTUAL;ESTADO CALCULADO;SALDO COMERCIAL;SALDO CONTABLE;RESULTADO;DIF. SALDOS
1381;CIUDAD DE DIOS LUJAN;USD;Retenido;Retenido;0;0;OK;0
1382;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;0;0;OK;0
1383;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;0;0;OK;0
1384;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;0;0;OK;0
1385;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;0;0;OK;0
1386;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;168.04;168.04;OK;0
1387;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;0;0;OK;0
1388;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;0;0;OK;0
1403;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;169.42;169.42;OK;0
1415;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;0;0;OK;0
1416;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;330.36;330.36;OK;0
1417;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;168.35;168.35;OK;0
1418;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;85.84;85.84;OK;0
1419;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;188.9;188.9;OK;0
1420;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;0;0;OK;0
1421;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;0;0;OK;0
1422;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;0;0;OK;0
1423;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;0;0;OK;0
1424;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;0;0;OK;0
1433;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;0;0;OK;0
1434;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;168.04;168.04;OK;0
1435;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;0;0;OK;0
1436;CIUDAD DE DIOS LUJAN;USD;Retenido;Retenido;0;0;OK;0
1437;CIUDAD DE DIOS LUJAN;USD;Retenido;Retenido;0;0;OK;0
1438;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;168.04;168.04;OK;0
1439;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;497.17;497.17;OK;0
1440;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;0;0;OK;0
1441;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;195;195;OK;0
1442;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;195;195;OK;0
1448;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;0;0;OK;0
1449;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;345.16;345.16;OK;0
1450;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;0;0;OK;0
1451;CIUDAD DE DIOS LUJAN;USD;Retenido;Pendiente;1112.46;1112.46;OK;0
1452;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;212.39;212.39;OK;0
1453;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;212.39;212.39;OK;0
1454;CIUDAD DE DIOS LUJAN;USD;Pendiente;Pendiente;490.5;490.5;OK;0
1455;CIUDAD DE DIOS LUJAN;USD;Pendiente;Pendiente;490.5;490.5;OK;0
1456;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;0;0;OK;0
1457;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;0;0;OK;0
1461;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;1119.82;1119.82;OK;0
1462;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;410.75;410.75;OK;0
1463;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;0;0;OK;0
1464;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;0;0;OK;0
1465;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;0;0;OK;0
1466;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;168.04;168.04;OK;0
1467;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;0;0;OK;0
1469;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;240.56;240.56;OK;0
1470;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;249.46;249.46;OK;0
1471;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;131.71;131.71;OK;0
1472;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;374.12;374.12;OK;0
1473;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;1349.56;1349.56;OK;0
1474;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;1988.2;1988.2;OK;0
1475;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;1988.2;1988.2;OK;0
1476;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;1349.56;1349.56;OK;0
1477;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;1721.01;1721.01;OK;0
1478;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;1695.13;1695.13;OK;0
1479;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;239.49;239.49;OK;0
1480;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;287.47;287.47;OK;0
1481;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;0;0;OK;0
1482;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;547.96;547.96;OK;0
1483;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;354.67;354.67;OK;0
1484;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;0;0;OK;0
1485;CIUDAD DE DIOS LUJAN;USD;Cambiado;Cambiado;0;0;OK;0
1486;CIUDAD DE DIOS LUJAN;USD;Cambiado;Cambiado;0;0;OK;0
1487;CIUDAD DE DIOS LUJAN;USD;Pendiente;Pendiente;2028.35;2028.35;OK;0
1488;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;0;0;OK;0
1489;CIUDAD DE DIOS LUJAN;USD;Retenido;Retenido;0;0;OK;0
1490;CIUDAD DE DIOS LUJAN;USD;Retenido;Retenido;0;0;OK;0
1491;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;0;0;OK;0
1492;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;0;0;OK;0
1493;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;0;0;OK;0
1495;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;0;0;OK;0
1496;CIUDAD DE DIOS LUJAN;USD;Pendiente;Pendiente;666.05;666.05;OK;0
1497;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;281.38;281.38;OK;0
1498;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;241.03;241.03;OK;0
1499;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;0;0;OK;0
1500;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;0;0;OK;0
1502;CIUDAD DE DIOS LUJAN;USD;Pendiente;Pendiente;2397.81;2397.81;OK;0
1505;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;358.78;358.78;OK;0
1506;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;341.92;341.92;OK;0
1507;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;0;0;OK;0
1508;CIUDAD DE DIOS LUJAN;USD;Retenido;Retenido;0;0;OK;0
1509;CIUDAD DE DIOS LUJAN;USD;Retenido;Retenido;0;0;OK;0
1510;CIUDAD DE DIOS LUJAN;USD;Cambiado;Cambiado;0;0;OK;0
1511;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;0;0;OK;0
1512;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;0;0;OK;0
1513;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;0;0;OK;0
1514;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;0;0;OK;0
1515;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;220;220;OK;0
1516;CIUDAD DE DIOS LUJAN;USD;Retenido;Retenido;0;0;OK;0
1517;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;354.82;354.82;OK;0
1518;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;444.93;444.93;OK;0
1519;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;2067.61;2067.61;OK;0
1520;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;0;0;OK;0
1521;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;0;0;OK;0
1522;CIUDAD DE DIOS LUJAN;USD;Fusionado;Pendiente;2177.88;2177.88;OK;0
1523;CIUDAD DE DIOS LUJAN;USD;Pendiente;Pendiente;2177.88;2177.88;OK;0
1524;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;0;0;OK;0
1525;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;0;0;OK;0
1526;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;249.74;249.74;OK;0
1527;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;477.12;477.12;OK;0
1528;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;0;0;OK;0
1529;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;416.81;416.81;OK;0
1530;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;0;0;OK;0
1531;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;249.74;249.74;OK;0
1534;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;0;0;OK;0
1535;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;0;0;OK;0
1536;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;0;0;OK;0
1537;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;0;0;OK;0
1538;CIUDAD DE DIOS LUJAN;USD;Pendiente;Pendiente;0;0;OK;0
1539;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;0;0;OK;0
1540;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;358.81;358.81;OK;0
1541;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;902;902;OK;0
1542;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;0;0;OK;0
1543;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;0;0;OK;0
1544;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;0;0;OK;0
1546;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;0;0;OK;0
1547;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;435.87;435.87;OK;0
1555;CIUDAD DE DIOS LUJAN;USD;Pendiente;Pendiente;598.42;598.42;OK;0
1556;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;0;0;OK;0
1557;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;0;0;OK;0
1558;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;417.32;417.32;OK;0
1559;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;250.32;250.32;OK;0
1560;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;1163.27;1163.27;OK;0
1561;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;1163.27;1163.27;OK;0
1562;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;1009.81;1009.81;OK;0
1563;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;1811.16;1811.16;OK;0
1564;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;0;0;OK;0
1565;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;450.55;450.55;OK;0
1566;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;339.4;339.4;OK;0
1567;CIUDAD DE DIOS LUJAN;USD;Retenido;Retenido;0;0;OK;0
1568;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;0;0;OK;0
1569;CIUDAD DE DIOS LUJAN;USD;Pendiente;Pendiente;2227.29;2227.29;OK;0
1570;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;0;0;OK;0
1571;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;0;0;OK;0
1572;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;0;0;OK;0
1573;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;0;0;OK;0
1574;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;0;0;OK;0
1575;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;635.49;635.49;OK;0
1576;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;378.9;378.9;OK;0
1581;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;650.56;650.56;OK;0
1582;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;2974.35;2974.35;OK;0
1583;CIUDAD DE DIOS LUJAN;USD;Retenido;Retenido;0;0;OK;0
1584;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;394.51;394.51;OK;0
1585;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;429.35;429.35;OK;0
1586;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;1071.1;1071.1;OK;0
1587;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;1395.77;1395.77;OK;0
1588;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;762.29;762.29;OK;0
1589;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;0;0;OK;0
1590;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;250.26;250.26;OK;0
1591;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;0;0;OK;0
1592;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;287.38;287.38;OK;0
1593;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;0;0;OK;0
1594;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;0;0;OK;0
1595;CIUDAD DE DIOS LUJAN;USD;Pendiente;Pendiente;2649.72;2649.72;OK;0
1596;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;0;0;OK;0
1597;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;606.97;606.97;OK;0
1598;CIUDAD DE DIOS LUJAN;USD;Pagado;Pagado;0;0;OK;0
1599;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;0;0;OK;0
1600;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;0;0;OK;0
1601;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;0;0;OK;0
1602;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;0;0;OK;0
1603;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;0;0;OK;0
1604;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;0;0;OK;0
1605;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;0;0;OK;0
1606;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;249.74;249.74;OK;0
1607;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;0;0;OK;0
1608;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;0;0;OK;0
1609;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;0;0;OK;0
1610;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;0;0;OK;0
1611;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;0;0;OK;0
1612;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;702.65;702.65;OK;0
1613;CIUDAD DE DIOS LUJAN;USD;Pagado;Pagado;0;0;OK;0
1614;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;3037.7;3037.7;OK;0
1615;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;0;0;OK;0
1616;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;0;0;OK;0
1617;CIUDAD DE DIOS LUJAN;USD;Retenido;Pendiente;1519.72;1519.72;OK;0
1618;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;402.56;402.56;OK;0
1619;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;0;0;OK;0
1620;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;344.8;344.8;OK;0
1621;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;0;0;OK;0
1622;CIUDAD DE DIOS LUJAN;USD;Pendiente;Pendiente;2259.5;2259.5;OK;0
1623;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;344.8;344.8;OK;0
1624;CIUDAD DE DIOS LUJAN;USD;Retenido;Pendiente;1519.72;1519.72;OK;0
1625;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;231.84;231.84;OK;0
1626;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;402.56;402.56;OK;0
1627;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;0;0;OK;0
1628;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;434.45;434.45;OK;0
1629;CIUDAD DE DIOS LUJAN;USD;Retenido;Retenido;0;0;OK;0
1630;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;0;0;OK;0
1631;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;0;0;OK;0
1632;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;0;0;OK;0
1633;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;0;0;OK;0
1634;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;0;0;OK;0
1635;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;333.2;333.2;OK;0
1636;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;0;0;OK;0
1638;CIUDAD DE DIOS LUJAN;USD;Pagado;Pendiente;0;0;OK;0
